x1,y1,x2,y2
682.717,893.993,774.943,838.436
683.691,898.772,765.180,838.694
685.132,905.049,748.078,827.520
685.961,907.642,737.657,822.580
686.760,911.471,729.505,819.407
686.911,914.083,723.222,816.986
697.084,913.444,717.602,815.145
713.605,909.300,714.098,813.917
725.009,907.717,711.970,813.075
733.272,906.682,708.497,811.934
739.521,905.746,700.915,817.431
745.616,905.059,686.142,831.128
750.600,903.974,677.490,840.156
758.340,892.344,671.612,846.837
770.608,878.317,667.897,851.254
781.025,866.813,664.292,855.793
788.276,858.689,660.419,860.474
793.614,852.779,658.105,863.760
798.070,847.562,657.461,864.184
802.400,842.960,655.086,866.654
804.939,839.600,653.875,868.001
807.799,836.092,652.485,869.694
810.812,832.381,650.791,871.461
814.005,828.647,647.943,874.174
816.954,824.670,641.769,878.602
819.100,821.984,644.468,880.881
820.669,819.598,654.947,881.277
821.936,817.661,661.232,881.497
824.278,814.654,666.557,881.641
825.713,812.612,672.999,882.660
827.430,810.110,677.145,882.822
832.204,802.831,682.262,883.395
841.199,794.478,683.574,882.833
848.168,788.373,685.508,882.359
853.205,784.010,687.757,882.272
858.059,780.018,692.546,881.030
862.386,776.804,702.217,862.251
866.002,773.977,715.654,845.308
868.948,771.665,723.597,835.645
870.878,770.110,730.363,827.567
873.318,768.269,736.421,820.554
876.773,765.962,741.522,814.722
878.898,764.389,747.517,808.192
881.488,762.748,751.114,804.093
886.833,760.888,755.105,799.859
897.021,756.624,761.891,786.333
904.400,753.346,770.688,768.163
910.458,750.973,777.483,754.705
916.474,748.601,782.863,744.124
919.753,747.211,787.282,735.345
923.680,745.553,790.635,728.684
926.500,744.339,793.540,722.980
929.058,743.226,796.775,716.737
931.264,737.732,799.817,710.827
917.499,712.999,802.591,705.613
909.599,691.883,804.461,702.276
904.721,677.325,806.198,699.068
901.163,665.215,808.112,695.569
898.561,654.930,810.171,691.954
896.364,645.680,812.099,688.780
894.853,637.672,813.725,685.915
893.276,629.694,815.202,683.760
892.215,623.621,816.372,681.800
891.299,618.165,815.145,666.270
890.690,612.854,813.263,646.213
889.884,608.065,811.128,631.969
889.203,602.492,809.042,619.634
888.582,598.048,807.719,611.397
888.160,594.227,806.610,605.116
887.906,587.917,805.371,598.816
897.020,568.522,804.336,593.381
905.140,552.140,803.374,588.022
910.780,540.887,802.632,583.753
915.180,532.664,801.623,578.599
919.015,525.394,801.193,575.831
922.116,519.969,800.726,572.737
924.824,515.078,799.927,568.915
928.042,509.491,799.322,565.825
931.411,503.882,798.790,562.410
933.969,499.845,798.035,558.744
935.461,497.111,797.715,557.059
937.009,494.427,797.478,555.711
938.746,491.494,797.310,554.708
940.241,489.050,796.592,550.412
942.523,485.374,798.191,534.324
944.092,479.627,799.022,519.641
945.349,465.543,799.450,509.984
946.324,456.430,800.244,500.788
946.765,448.227,800.612,495.000
947.177,442.969,801.180,488.278
947.525,437.091,802.076,481.916
947.548,430.070,802.202,477.063
947.678,427.743,802.924,471.843
947.977,424.974,802.949,469.894
947.850,422.172,803.259,466.608
948.024,419.463,812.698,452.324
948.178,416.678,825.383,435.595
948.196,413.710,833.796,425.508
947.964,410.987,842.011,416.195
947.761,409.372,846.916,410.413
948.040,408.740,851.038,405.484
947.943,402.680,855.512,400.610
953.601,389.356,860.048,395.524
957.412,380.742,864.695,390.830
959.919,375.159,868.840,386.518
961.748,370.848,871.167,383.852
963.671,366.684,872.637,382.154
965.255,363.209,876.011,378.989
967.269,359.266,878.090,376.603
968.978,355.551,880.474,374.221
970.656,352.213,882.504,371.991
971.480,350.453,883.716,370.673
972.138,348.819,886.254,368.306
973.631,346.055,886.997,367.445
974.660,344.059,890.639,361.880
976.112,341.266,898.203,344.336
976.441,340.585,902.496,334.482
977.105,339.694,905.503,327.388
976.911,339.857,907.922,321.590
977.522,338.670,910.101,315.756
979.201,335.705,911.549,311.574
979.867,334.374,913.641,306.003
981.071,332.811,914.971,302.034
997.455,332.665,915.838,298.958
1008.836,332.873,916.645,296.530
1015.411,332.771,917.720,293.450
1023.869,333.320,918.859,290.039
1029.562,340.663,919.778,287.469
1026.316,359.440,920.824,284.707
1025.870,371.420,921.260,283.753
1025.742,380.217,921.933,282.495
1025.654,388.792,922.646,280.618
1025.859,396.181,923.448,278.044
1025.821,400.961,924.114,276.193
1026.211,407.307,924.536,274.953
1026.806,411.890,925.083,273.443
1027.517,416.932,925.170,273.368
1027.836,419.856,925.263,273.163
1028.506,422.926,926.032,266.575
1029.098,425.829,910.710,255.936
1030.045,428.910,899.104,247.035
1030.547,430.890,892.133,241.918
1031.466,433.323,885.460,237.242
1032.340,435.885,879.370,233.076
1030.219,444.774,874.983,230.201
1019.414,468.751,869.053,225.996
1013.541,481.459,865.167,223.195
1008.189,492.032,862.646,221.458
1004.221,499.666,859.799,219.574
1000.036,507.514,857.333,218.073
997.095,512.691,856.432,207.630
993.310,518.804,856.895,196.101
990.600,523.356,857.561,190.189
988.292,527.274,857.852,187.111
986.093,530.740,857.847,184.141
984.268,533.570,857.890,181.960
982.208,536.772,858.421,178.730
979.706,540.475,858.664,174.653
978.381,542.392,855.501,168.078
976.713,545.087,835.881,170.973
973.268,554.107,818.877,169.917
969.310,562.007,808.073,169.857
966.155,568.085,799.707,169.930
963.432,573.729,792.445,169.847
960.834,578.746,785.489,169.715
959.079,582.483,781.519,169.668
957.548,585.370,776.839,169.460
955.801,588.782,763.309,174.675
954.508,591.197,738.216,183.918
952.528,595.785,720.471,189.950
951.715,597.379,704.727,195.253
950.089,600.959,694.198,198.759
949.547,601.504,684.767,201.965
948.652,603.454,676.516,204.678
948.204,604.303,668.168,207.642
946.733,612.102,661.356,209.945
945.408,616.875,651.384,208.840
944.794,619.479,636.152,205.409
943.952,622.787,627.364,203.330
943.293,623.874,620.760,201.980
943.553,625.615,613.506,199.965
946.312,632.865,608.166,198.593
949.434,639.381,602.725,197.069
950.877,642.232,598.964,196.015
951.672,644.125,595.896,195.275
954.714,649.188,592.994,194.502
953.143,658.011,590.198,193.702
950.787,668.942,587.328,192.786
949.056,674.992,583.517,191.310
947.556,679.152,580.648,190.674
946.496,682.302,579.818,190.409
945.629,684.529,578.584,190.192
945.961,684.905,577.227,189.818
948.642,690.462,574.681,188.882
952.512,698.026,571.358,187.684
954.807,702.581,571.027,187.680
955.452,703.614,570.618,187.529
957.443,706.727,568.370,194.992
959.445,710.609,562.388,212.113
956.456,705.861,557.482,224.788
942.212,710.829,554.064,234.077
928.341,717.613,550.748,242.035
919.389,721.400,549.232,246.160
914.851,722.674,548.380,251.225
908.824,725.142,552.103,284.627
902.869,727.834,554.586,313.506
896.056,731.639,556.396,334.478
890.674,734.298,558.373,351.236
887.388,735.597,559.303,362.699
883.182,737.439,560.317,374.378
879.817,738.977,561.024,382.798
876.807,740.166,562.094,393.045
873.137,742.220,562.525,401.409
868.741,747.229,563.289,409.400
858.832,759.859,563.582,414.359
854.419,765.225,564.246,418.763
850.123,770.531,580.043,441.889
846.556,775.075,601.271,474.158
842.632,780.631,615.580,495.941
840.419,783.674,626.291,512.939
838.441,786.392,634.165,525.885
836.943,788.159,640.585,536.554
835.363,790.288,646.558,546.546
832.862,794.167,652.370,558.171
827.366,798.722,665.629,584.213
814.797,805.949,676.894,603.384
806.168,811.298,684.719,616.039
799.451,815.294,691.258,626.692
794.053,818.292,696.646,635.037
789.035,820.838,701.996,643.497
784.221,823.255,707.614,652.049
780.349,825.302,711.705,658.401
777.350,827.212,714.767,663.027
773.228,829.336,718.212,668.221
769.277,831.208,721.173,672.800
766.027,832.636,724.309,677.305
763.319,834.110,727.025,681.396
759.559,835.782,729.581,685.195
758.193,836.430,731.418,688.035
757.474,836.728,732.971,693.145
755.709,837.479,730.340,710.390
754.267,838.178,727.858,724.493
743.137,843.107,725.863,735.073
732.886,848.382,724.093,742.984
727.103,851.527,723.191,747.760
722.074,854.073,721.975,752.914
718.378,856.094,721.031,757.014
714.300,858.234,719.682,762.486
708.753,861.256,718.436,767.205
704.563,863.616,717.631,770.986
702.758,864.626,716.978,773.629
700.958,865.494,712.360,777.347
699.306,866.678,691.910,781.824
697.284,867.587,678.416,784.419
694.821,869.119,666.712,786.556
693.387,870.368,659.706,787.773
687.322,875.285,653.602,788.810
683.594,878.053,647.977,789.716
680.026,880.604,644.129,790.111
677.808,882.250,639.271,791.045
675.256,884.270,635.371,791.674
672.473,886.365,632.028,792.034
671.103,887.445,629.329,792.459
670.063,888.169,626.209,792.945
668.937,888.975,624.360,793.318
666.817,890.606,622.297,793.582
664.874,892.204,618.667,794.114
662.240,894.540,616.373,794.568
652.151,888.193,614.606,794.798
640.532,883.924,614.807,794.815
633.572,881.366,614.123,794.805
627.629,879.262,608.812,789.103
622.200,877.297,598.331,775.545
617.281,875.463,591.680,766.813
613.965,874.309,588.493,762.381
606.115,872.239,585.967,758.728
596.743,869.062,583.326,755.486
590.407,867.028,581.256,752.548
584.383,864.461,578.942,749.116
580.454,862.540,577.435,747.016
575.713,860.060,575.487,744.131
568.295,852.240,575.526,743.911
560.086,845.190,573.809,742.477
553.912,839.968,563.345,738.605
549.445,835.729,555.503,735.605
544.782,831.254,549.649,733.638
542.903,829.239,546.722,732.773
539.957,826.118,544.035,731.911
537.619,823.975,542.077,731.434
535.277,821.502,539.651,730.706
531.683,817.670,535.802,728.253
530.622,816.790,536.924,710.697
528.898,814.906,537.115,694.797
527.596,813.560,537.292,684.748
526.239,812.120,537.444,677.921
521.507,810.017,537.954,671.732
509.827,802.217,538.038,665.607
503.416,798.085,538.308,661.882
497.990,794.521,538.371,656.562
493.493,791.666,538.403,652.820
490.144,789.520,538.719,651.084
485.556,786.708,538.972,648.426
481.982,784.625,539.015,644.519
479.261,782.981,539.037,642.889
476.524,781.246,539.095,640.606
474.324,779.898,539.070,638.132
471.264,779.380,539.150,637.719
465.150,780.076,535.969,636.527
459.901,780.899,526.828,632.127
454.718,781.766,521.004,630.246
452.417,782.210,517.577,629.431
449.731,782.609,515.872,629.416
448.414,782.601,514.192,629.433
445.996,783.175,511.884,629.286
443.853,783.569,510.690,627.797
441.759,783.994,509.701,624.664
441.198,783.912,508.726,621.687
439.927,783.243,507.652,619.626
432.477,776.403,510.171,614.048
423.544,769.774,520.517,600.548
417.730,765.115,528.092,591.412
413.413,761.493,535.041,583.413
409.745,758.375,539.735,577.964
407.741,756.451,543.096,574.180
405.674,754.604,546.327,570.641
403.514,752.727,548.806,567.854
400.914,750.425,552.377,563.600
398.808,748.507,555.258,559.587
396.969,746.909,566.971,554.848
395.696,745.607,584.106,544.713
395.131,745.333,596.003,538.732
389.264,741.130,605.303,534.109
383.872,736.582,614.105,530.028
381.223,734.281,621.835,526.490
377.477,731.148,628.241,523.710
375.901,729.650,632.936,521.564
377.277,731.295,636.570,520.035
374.404,725.983,641.036,518.050
370.582,718.113,643.670,517.112
367.394,711.714,655.343,516.345
366.635,709.130,666.667,516.243
365.508,703.628,671.414,516.203
364.541,699.957,673.135,515.444
362.895,696.900,687.217,506.632
360.725,689.711,703.766,497.413
360.220,687.071,715.038,490.515
358.996,681.881,723.349,485.386
358.216,680.204,729.125,481.620
360.824,675.196,734.102,478.385
362.966,662.686,738.179,475.857
364.266,656.234,743.801,472.114
365.683,649.572,747.717,469.456
366.866,644.892,752.567,466.115
367.772,641.254,754.871,464.593
368.337,639.038,756.696,463.289
368.911,636.508,759.318,461.495
370.167,632.584,762.537,459.133
370.578,625.583,765.956,454.238
368.608,608.465,767.413,431.285
367.837,596.702,768.771,414.940
366.721,587.060,769.220,401.983
365.638,579.128,769.202,391.413
364.773,572.873,769.013,382.157
364.132,567.596,769.014,376.587
363.575,562.970,768.841,367.948
363.482,561.018,768.663,361.806
362.815,557.499,768.529,357.799
362.221,554.009,768.141,352.928
361.835,551.255,767.809,348.332
361.275,548.139,767.905,344.970
360.517,544.590,767.596,340.427
360.524,543.444,767.790,337.224
360.133,541.411,767.166,334.763
360.537,541.795,767.550,330.693
360.964,538.354,767.589,317.184
361.469,531.488,766.798,305.610
361.802,526.886,766.031,295.525
362.087,524.852,765.867,288.449
362.570,521.851,765.386,283.938
362.005,517.273,764.936,280.009
362.069,508.115,764.724,275.067
362.126,502.541,764.609,270.357
362.089,496.801,769.402,257.219
362.021,492.854,772.299,247.056
362.269,492.014,774.703,239.771
366.578,483.951,775.891,235.775
376.386,463.565,777.571,230.691
382.621,451.873,779.576,225.309
386.780,443.737,781.305,220.605
390.722,436.622,782.112,218.187
393.742,430.924,782.732,216.094
396.009,426.799,783.408,213.788
399.208,421.121,779.011,211.077
401.829,416.430,758.752,205.893
403.962,412.419,741.652,200.860
405.887,409.172,728.920,197.610
407.117,407.011,719.850,194.965
409.506,404.184,711.161,192.529
429.451,384.493,703.504,190.073
442.888,370.828,695.879,187.647
453.277,360.514,689.740,185.374
462.041,351.790,683.733,183.223
467.818,345.844,679.669,181.661
473.829,339.863,659.860,191.066
479.121,334.747,631.353,204.295
484.279,329.531,611.976,213.549
489.356,324.559,597.200,220.775
492.419,321.426,585.192,226.532
494.916,318.942,575.883,230.936
497.970,316.143,566.698,235.287
500.754,313.419,558.634,239.234
503.184,311.287,551.249,242.700
506.119,308.393,545.220,244.784
507.446,306.927,521.976,231.974
510.182,304.480,503.873,222.991
511.170,303.406,492.447,218.159
513.145,301.473,480.721,213.782
516.535,298.243,470.679,210.492
518.671,296.217,462.297,208.078
519.999,295.003,456.547,206.306
520.522,294.541,449.783,204.759
521.749,293.368,445.178,203.704
522.070,293.249,442.303,202.713
524.031,283.873,436.765,201.022
524.988,272.984,432.811,199.867
525.267,265.945,431.648,202.228
525.159,263.190,430.327,214.563
525.161,259.579,428.745,222.886
524.617,255.943,427.686,229.590
525.079,252.188,426.479,236.489
525.038,248.206,425.941,241.197
524.746,244.848,425.506,244.757
524.733,244.930,421.549,252.829
524.836,243.936,417.237,273.047
524.535,242.495,414.333,287.809
524.453,240.666,412.277,299.995
523.742,235.085,410.316,310.970
523.599,234.478,409.115,318.563
523.269,233.422,408.021,324.531
523.617,235.824,407.071,329.975
523.344,235.046,406.251,334.876
523.707,237.727,405.422,342.198
518.759,233.136,404.502,348.173
506.943,225.596,404.074,350.331
499.488,221.362,403.712,353.865
495.252,219.018,403.376,358.689
490.415,216.306,402.984,359.786
486.463,213.958,402.626,364.469
483.025,211.966,401.986,369.386
479.862,209.668,401.900,371.770
472.162,202.502,401.864,371.136
466.256,197.656,414.093,388.277
463.235,195.201,425.123,401.449
459.502,191.458,434.236,410.928
453.483,185.762,442.676,418.604
448.036,179.795,448.963,424.259
450.443,180.926,453.843,428.698
446.332,188.757,457.652,432.018
441.742,204.172,462.086,435.680
436.777,214.983,466.577,439.299
431.516,224.556,471.149,442.855
427.508,230.451,473.896,445.074
424.021,235.112,475.058,446.324
421.272,238.493,475.755,448.027
420.562,249.816,481.006,459.351
418.174,266.029,484.708,467.089
417.147,276.775,487.155,472.092
416.504,286.464,489.412,476.682
416.059,293.552,491.170,480.196
415.957,300.146,493.819,487.439
415.488,304.589,498.584,492.725
415.348,310.872,507.073,504.404
415.347,316.079,511.554,511.312
415.240,320.240,515.461,516.777
414.965,322.893,517.958,520.195
415.038,327.722,520.511,523.675
414.608,327.826,522.528,526.665
408.931,349.768,525.056,530.025
405.865,364.583,527.504,533.224
403.599,375.416,529.916,536.213
401.673,383.785,530.566,537.060
400.414,389.973,531.498,538.408
398.786,397.000,533.221,540.316
397.532,403.210,534.475,541.926
396.184,409.108,536.299,544.020
395.155,414.067,538.250,546.478
394.399,418.094,539.068,547.481
393.626,421.918,539.809,548.262
392.937,425.466,540.455,549.037
392.137,429.408,543.513,555.560
391.147,434.000,550.930,570.808
390.446,437.103,556.083,580.366
387.300,442.544,559.759,586.793
379.673,455.282,561.972,590.885
375.533,462.840,564.550,595.506
371.533,469.116,566.719,599.421
367.810,474.946,569.148,603.893
364.594,480.022,570.623,606.549
362.413,483.400,566.601,613.611
360.692,485.983,555.450,628.314
358.820,488.998,547.764,637.639
356.579,492.269,542.138,644.263
354.171,495.594,536.000,650.905
351.826,498.260,531.842,655.452
350.596,500.182,527.884,659.728
349.496,501.805,525.050,662.728
348.973,502.720,521.670,666.101
347.194,504.997,518.316,669.547
345.526,516.350,515.362,672.706
343.662,530.218,512.932,675.052
342.445,539.188,511.028,676.909
342.087,539.018,509.479,678.539
341.712,543.455,508.177,679.865
341.353,546.781,506.149,681.754
344.613,554.129,503.271,684.590
356.558,570.806,501.534,686.343
363.494,580.819,500.404,687.348
367.874,586.736,499.767,688.043
372.586,593.051,494.131,691.386
376.357,598.331,476.871,698.623
380.220,603.440,463.882,704.052
