x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
2575.615,1344.836,2637.407,1125.860,2782.256,1488.004,2452.653,1197.711,2485.675,1396.245,2775.394,1404.613,2609.698,1559.878,2902.374,1540.005,2594.316,1480.336,2481.794,1116.782
2575.593,1351.141,2638.109,1124.913,2790.162,1491.374,2440.189,1198.780,2485.409,1396.636,2784.282,1405.905,2611.239,1564.310,2906.317,1542.302,2599.978,1484.582,2481.259,1118.722
2574.947,1356.173,2639.343,1124.135,2805.358,1499.786,2427.133,1199.756,2485.457,1398.564,2791.255,1406.834,2613.375,1570.146,2910.942,1544.968,2605.239,1488.493,2480.454,1121.427
2574.677,1362.972,2640.839,1122.560,2817.758,1505.816,2418.674,1200.584,2485.623,1402.065,2797.250,1407.720,2615.205,1574.987,2914.999,1547.333,2610.912,1492.585,2480.053,1123.285
2574.407,1366.748,2640.936,1121.581,2829.323,1511.792,2409.138,1201.397,2485.619,1402.643,2802.456,1408.146,2616.959,1579.839,2918.183,1549.217,2614.676,1495.441,2479.496,1124.956
2573.778,1372.371,2641.995,1119.808,2838.391,1516.908,2400.988,1202.371,2485.463,1404.300,2808.067,1409.035,2618.800,1584.227,2921.240,1551.184,2618.767,1498.459,2478.968,1126.758
2573.485,1377.467,2644.084,1118.470,2846.976,1521.850,2394.952,1203.415,2485.779,1404.582,2813.251,1409.774,2620.209,1588.511,2924.803,1553.471,2622.546,1501.135,2478.658,1128.059
2573.546,1377.776,2644.072,1118.148,2854.096,1526.034,2388.211,1208.725,2486.391,1406.843,2815.615,1410.196,2621.672,1592.318,2928.307,1555.577,2626.120,1503.822,2478.256,1129.450
2577.403,1379.113,2644.372,1118.146,2860.594,1529.716,2386.812,1222.777,2487.022,1411.853,2821.393,1411.096,2622.549,1594.650,2932.663,1554.500,2635.449,1513.725,2477.207,1132.657
2578.778,1382.160,2644.414,1118.426,2867.955,1533.808,2388.172,1235.094,2487.261,1411.119,2824.053,1411.423,2629.363,1601.178,2937.572,1545.533,2648.796,1524.963,2473.032,1144.171
2578.536,1382.004,2645.573,1118.393,2871.704,1535.785,2388.993,1244.911,2487.690,1411.852,2828.471,1412.136,2649.255,1604.797,2940.041,1522.203,2664.147,1537.813,2470.804,1155.667
2578.692,1381.066,2644.137,1118.872,2879.296,1540.321,2389.626,1254.894,2487.819,1413.151,2830.168,1412.494,2669.843,1610.159,2942.394,1497.333,2674.782,1548.784,2468.501,1168.016
2578.001,1379.164,2643.019,1118.852,2883.953,1543.143,2390.499,1263.441,2488.376,1414.723,2832.791,1412.995,2687.781,1615.642,2941.377,1474.729,2684.347,1558.809,2466.326,1176.795
2574.381,1376.459,2642.007,1118.952,2888.499,1545.640,2390.690,1270.503,2488.587,1415.672,2837.680,1414.006,2701.532,1619.792,2941.085,1454.792,2692.522,1567.644,2463.818,1186.636
2569.907,1374.845,2642.333,1119.025,2893.670,1549.285,2390.712,1276.728,2488.326,1425.536,2839.683,1414.470,2714.352,1623.691,2941.086,1438.496,2698.716,1574.774,2461.892,1194.043
2556.391,1372.731,2641.264,1119.261,2895.984,1550.546,2390.977,1282.082,2488.555,1435.485,2841.719,1415.021,2724.699,1627.025,2941.111,1424.539,2704.546,1581.721,2460.178,1201.469
2546.301,1369.525,2640.568,1119.611,2900.538,1553.492,2391.398,1287.813,2489.731,1444.731,2843.520,1415.482,2734.845,1630.298,2941.493,1412.047,2709.326,1587.496,2458.525,1208.056
2536.064,1366.294,2638.542,1119.943,2903.620,1555.596,2391.694,1293.759,2490.804,1451.688,2844.722,1415.964,2743.419,1633.425,2941.291,1400.759,2714.013,1593.387,2457.025,1214.239
2527.346,1363.870,2637.634,1119.818,2906.806,1557.632,2392.137,1299.002,2491.234,1458.786,2849.020,1416.972,2750.145,1635.761,2941.250,1390.079,2718.354,1599.521,2455.718,1219.400
2520.892,1361.525,2637.607,1119.974,2910.942,1560.347,2392.545,1303.993,2491.522,1463.657,2850.344,1417.304,2756.083,1638.379,2941.050,1380.364,2721.267,1603.304,2454.249,1225.125
2513.739,1358.434,2635.600,1119.968,2914.129,1562.395,2392.702,1307.871,2492.005,1468.773,2851.296,1417.337,2762.021,1640.998,2941.177,1371.138,2724.181,1607.087,2453.003,1229.937
2507.631,1354.122,2633.508,1120.476,2917.029,1564.138,2392.840,1311.536,2492.163,1474.181,2851.824,1417.765,2767.960,1643.617,2941.215,1363.714,2727.094,1610.870,2451.624,1234.576
2501.529,1349.654,2631.851,1120.902,2919.012,1565.654,2392.976,1314.836,2492.527,1478.533,2854.164,1417.886,2773.898,1646.235,2941.370,1355.653,2730.007,1614.653,2450.618,1238.841
2495.418,1345.558,2631.695,1121.059,2922.027,1567.620,2393.346,1318.058,2492.763,1482.918,2855.672,1417.044,2779.836,1648.854,2941.595,1348.978,2732.920,1618.436,2449.767,1242.051
2489.329,1342.338,2628.539,1121.531,2923.964,1568.969,2394.903,1322.114,2492.912,1485.800,2857.174,1415.385,2785.774,1651.472,2941.498,1342.598,2735.833,1622.219,2448.591,1246.951
2485.166,1338.587,2627.635,1121.910,2926.081,1570.488,2403.712,1336.880,2492.906,1490.705,2858.455,1413.791,2791.713,1654.091,2941.501,1336.508,2738.747,1626.001,2447.928,1249.947
2484.178,1336.417,2626.210,1122.253,2928.454,1572.146,2412.941,1354.044,2493.342,1493.574,2859.263,1412.231,2797.651,1656.709,2941.617,1329.491,2741.660,1629.784,2447.129,1252.919
2481.975,1338.154,2625.692,1122.577,2929.715,1573.317,2419.495,1368.173,2493.376,1496.374,2859.934,1410.438,2803.589,1659.328,2941.816,1324.247,2744.573,1633.567,2446.402,1256.403
2481.457,1340.620,2624.328,1122.916,2932.334,1574.924,2425.154,1379.509,2493.716,1499.606,2860.740,1408.358,2806.672,1660.478,2941.623,1320.394,2745.044,1636.571,2445.826,1258.983
2480.956,1343.793,2623.164,1123.318,2933.286,1575.891,2430.034,1389.515,2499.341,1507.255,2861.288,1406.064,2813.868,1661.879,2941.638,1315.117,2750.910,1647.836,2445.203,1261.690
2481.281,1345.414,2621.908,1123.412,2935.378,1577.287,2434.573,1398.925,2514.120,1520.315,2860.666,1398.665,2828.563,1665.978,2941.736,1310.666,2759.064,1659.217,2444.587,1264.343
2481.797,1347.655,2620.665,1123.859,2936.376,1578.346,2438.385,1406.741,2526.018,1531.790,2859.038,1384.820,2838.588,1670.606,2941.597,1306.001,2767.425,1669.392,2443.970,1267.138
2482.376,1348.443,2620.368,1123.858,2938.942,1580.271,2441.019,1412.404,2535.766,1540.882,2858.039,1371.408,2847.403,1675.263,2941.742,1301.263,2774.646,1678.719,2443.480,1268.739
2483.737,1349.194,2618.614,1124.279,2939.082,1580.559,2444.791,1418.812,2544.398,1548.850,2857.591,1363.184,2853.179,1678.776,2941.856,1298.251,2780.675,1686.761,2442.834,1271.546
2485.671,1351.555,2618.177,1124.258,2941.289,1582.313,2447.375,1423.179,2552.671,1556.200,2856.351,1353.292,2860.005,1683.117,2941.883,1293.895,2786.061,1694.058,2442.409,1273.613
2487.946,1354.678,2617.279,1124.318,2942.353,1583.367,2450.261,1426.699,2558.608,1562.005,2855.177,1344.378,2864.786,1686.441,2939.437,1288.567,2790.958,1700.018,2442.144,1275.120
2490.848,1360.907,2616.516,1124.547,2943.631,1584.428,2454.108,1428.964,2564.612,1567.595,2854.486,1338.985,2870.593,1690.341,2926.849,1285.622,2795.517,1705.748,2441.502,1278.110
2494.488,1375.417,2615.481,1124.601,2945.018,1585.751,2457.992,1431.070,2569.728,1572.694,2853.670,1333.319,2874.735,1693.293,2906.629,1284.991,2798.893,1710.490,2441.203,1279.769
2497.978,1387.728,2614.684,1124.869,2947.242,1586.982,2466.501,1432.229,2575.019,1577.762,2852.913,1327.302,2879.576,1696.937,2890.589,1284.635,2802.017,1714.557,2440.852,1281.193
2500.340,1396.270,2613.743,1124.993,2954.692,1589.022,2476.274,1432.341,2579.302,1582.038,2851.235,1320.597,2882.385,1699.149,2875.745,1285.137,2804.888,1718.240,2440.627,1282.788
