x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
2040.617,2451.769,1946.906,2864.097,2068.011,2706.426,1774.733,2001.813,2230.626,2346.279,2034.746,2129.782,1830.945,2469.905,1692.175,2433.655,1980.062,2184.943,1852.725,2386.097
2048.380,2438.429,1939.375,2848.788,2067.805,2697.726,1802.917,2009.454,2239.938,2334.516,2038.193,2117.730,1839.140,2492.333,1691.304,2428.074,1985.012,2187.507,1852.191,2376.827
2055.134,2426.911,1932.406,2835.994,2068.075,2688.260,1829.985,2017.032,2247.836,2324.303,2041.447,2107.201,1846.228,2514.893,1690.352,2422.739,1990.626,2189.983,1852.328,2370.121
2061.613,2415.806,1924.470,2822.872,2064.505,2671.994,1857.165,2024.653,2255.523,2315.029,2044.331,2097.674,1853.513,2532.795,1689.104,2417.192,2003.504,2190.829,1852.457,2363.683
2066.733,2406.611,1919.501,2813.664,2060.716,2644.551,1881.552,2031.524,2261.657,2307.546,2047.521,2088.068,1860.643,2549.522,1684.693,2412.835,2026.334,2188.969,1852.347,2356.719
2072.187,2397.071,1913.978,2804.693,2057.046,2620.166,1902.110,2035.552,2268.038,2299.930,2050.522,2078.895,1867.101,2564.378,1671.109,2404.597,2046.305,2187.366,1852.390,2349.029
2080.276,2386.295,1909.406,2796.602,2053.021,2599.764,1920.077,2038.232,2273.547,2293.348,2053.397,2070.885,1872.289,2575.941,1654.561,2395.907,2062.816,2184.605,1852.977,2345.163
2093.956,2368.694,1905.081,2789.297,2049.756,2581.839,1936.302,2040.427,2279.160,2286.981,2056.202,2062.652,1877.249,2586.656,1639.044,2392.099,2077.423,2181.050,1853.089,2338.189
2108.410,2348.350,1901.101,2782.467,2047.274,2566.689,1950.917,2041.744,2284.608,2280.475,2059.248,2055.162,1882.239,2596.503,1623.442,2391.059,2090.759,2177.620,1853.553,2334.519
2123.323,2332.114,1897.751,2776.849,2045.051,2553.159,1966.235,2043.172,2289.082,2275.101,2062.218,2048.317,1886.974,2605.951,1608.510,2389.264,2100.830,2174.884,1853.475,2326.850
2136.704,2316.621,1893.827,2770.113,2043.129,2540.553,1978.528,2043.932,2294.318,2269.458,2071.486,2036.813,1890.993,2613.796,1596.679,2388.512,2112.243,2171.854,1853.837,2322.883
2147.859,2304.157,1891.009,2765.367,2041.532,2529.875,1989.029,2044.454,2297.970,2265.169,2089.333,2016.767,1895.196,2621.675,1586.593,2387.666,2122.048,2169.110,1854.502,2319.172
2158.327,2292.831,1888.185,2760.989,2039.842,2519.531,1999.443,2044.461,2302.009,2260.379,2103.819,1997.723,1899.312,2628.747,1576.316,2387.525,2129.940,2166.849,1854.933,2314.154
2168.402,2282.452,1885.455,2756.343,2038.146,2509.670,2009.800,2044.200,2306.021,2256.005,2117.563,1982.565,1906.058,2635.939,1568.295,2387.213,2137.617,2164.468,1855.095,2308.433
2176.458,2274.022,1883.040,2752.029,2036.780,2501.681,2020.070,2044.113,2309.865,2251.977,2130.708,1968.674,1916.471,2636.633,1560.893,2386.738,2149.061,2160.255,1855.558,2304.487
2184.427,2265.868,1880.930,2748.065,2035.390,2493.429,2027.846,2043.629,2313.328,2248.198,2141.698,1956.906,1933.565,2631.004,1555.173,2386.263,2173.475,2151.847,1857.364,2297.094
2192.451,2257.715,1877.957,2742.944,2034.269,2486.140,2037.115,2044.149,2317.409,2243.929,2152.145,1946.348,1947.696,2625.014,1550.133,2386.410,2203.804,2137.602,1862.655,2272.315
2198.938,2251.028,1869.435,2734.654,2033.205,2478.712,2048.702,2044.153,2320.518,2240.611,2161.827,1936.789,1959.996,2619.249,1544.293,2385.820,2233.961,2119.823,1866.074,2246.970
2205.809,2244.199,1859.398,2722.893,2032.538,2472.912,2063.882,2042.762,2323.705,2237.435,2171.234,1928.354,1970.688,2613.696,1539.308,2385.934,2261.051,2099.989,1871.452,2222.837
2212.031,2237.789,1852.120,2712.164,2031.959,2466.732,2082.821,2041.136,2327.688,2233.768,2180.547,1919.690,1980.197,2608.112,1534.528,2385.634,2285.816,2083.098,1875.514,2203.748
2217.695,2231.851,1845.184,2702.472,2031.520,2461.012,2100.498,2038.135,2330.811,2230.622,2188.867,1912.368,1988.523,2603.265,1532.132,2385.367,2307.630,2067.021,1879.203,2187.069
2223.412,2226.273,1840.000,2695.229,2031.206,2454.884,2118.238,2034.382,2334.001,2227.779,2196.447,1906.036,1996.127,2598.461,1530.489,2384.664,2325.660,2053.116,1882.978,2172.146
2228.545,2221.398,1834.021,2687.897,2031.147,2449.772,2134.846,2031.155,2337.617,2224.244,2203.921,1899.658,2003.641,2593.749,1526.494,2381.773,2340.791,2041.819,1886.749,2158.709
2233.678,2216.268,1829.646,2683.220,2031.195,2444.623,2148.859,2027.612,2340.604,2221.629,2211.425,1893.894,2008.299,2590.232,1520.501,2363.882,2355.546,2030.781,1890.012,2147.743
2239.234,2210.907,1823.742,2677.298,2031.094,2439.519,2161.267,2024.182,2344.046,2218.553,2218.261,1888.274,2020.075,2571.402,1517.465,2345.864,2368.857,2021.204,1893.598,2136.621
2243.333,2207.270,1819.736,2674.059,2026.985,2428.638,2172.956,2020.897,2346.930,2216.480,2224.820,1882.900,2035.152,2541.980,1518.434,2324.457,2380.745,2012.425,1896.970,2126.033
2248.675,2202.543,1815.543,2670.617,2019.010,2408.771,2183.240,2017.997,2349.443,2214.580,2231.264,1878.376,2048.690,2517.066,1521.028,2305.600,2390.732,2005.624,1899.947,2117.967
2252.795,2199.263,1810.778,2666.315,2014.469,2390.563,2193.510,2015.134,2353.104,2211.609,2237.280,1873.512,2059.396,2496.724,1523.033,2288.778,2400.651,1998.745,1903.141,2109.479
2256.732,2196.029,1807.675,2663.628,2010.094,2375.271,2203.509,2010.934,2355.799,2209.177,2242.906,1869.833,2068.909,2478.963,1525.222,2276.376,2410.975,1991.493,1906.064,2102.725
2260.991,2191.875,1804.904,2661.002,2006.655,2363.542,2218.644,1998.701,2362.053,2202.700,2249.419,1864.303,2077.707,2463.118,1527.267,2265.053,2418.620,1986.331,1911.347,2092.865
2269.430,2179.996,1801.973,2656.778,2003.567,2352.319,2238.566,1982.789,2374.081,2187.926,2254.316,1861.474,2086.211,2448.517,1529.676,2254.634,2429.261,1973.379,1928.573,2073.135
2282.216,2165.303,1800.483,2646.442,2000.965,2342.087,2254.816,1967.702,2389.550,2174.128,2259.382,1858.099,2093.038,2436.531,1531.665,2245.846,2443.597,1951.072,1946.961,2050.101
2295.571,2149.630,1798.081,2626.260,1998.590,2332.933,2269.341,1953.924,2405.114,2157.635,2264.572,1854.735,2100.250,2424.346,1533.752,2237.658,2458.189,1930.173,1966.983,2030.084
2306.500,2136.472,1794.988,2608.028,1996.842,2325.025,2282.892,1941.788,2422.766,2141.294,2270.373,1850.309,2106.465,2414.092,1535.976,2229.125,2468.751,1912.169,1982.089,2014.091
2316.700,2125.349,1793.487,2591.470,1995.063,2317.052,2294.937,1930.775,2439.222,2123.263,2275.844,1847.348,2112.625,2403.998,1538.383,2223.293,2477.810,1896.973,1996.231,1999.949
2326.157,2115.322,1791.515,2577.603,1993.834,2309.978,2305.909,1920.657,2455.302,2108.205,2286.721,1844.780,2117.958,2395.981,1548.138,2204.038,2486.176,1882.994,2008.727,1988.413
2334.521,2106.655,1789.942,2565.315,1992.602,2303.246,2315.370,1912.235,2467.731,2096.091,2304.239,1843.596,2123.147,2387.865,1560.763,2178.219,2493.728,1871.225,2020.522,1977.740
2342.778,2097.927,1788.678,2554.041,1991.532,2297.221,2325.095,1903.224,2479.909,2084.028,2317.594,1841.776,2128.782,2379.353,1571.335,2156.901,2500.488,1861.402,2031.126,1968.392
2349.739,2091.122,1787.738,2544.942,1990.590,2291.011,2332.829,1896.683,2490.229,2074.053,2330.706,1839.612,2140.404,2365.225,1582.432,2135.500,2507.354,1852.125,2041.119,1959.834
2356.890,2083.764,1787.065,2536.331,1989.991,2286.057,2340.829,1889.626,2500.044,2064.466,2342.903,1837.373,2158.030,2337.670,1590.382,2118.338,2513.914,1843.208,2049.539,1952.374
2363.584,2076.891,1786.405,2528.173,1987.322,2278.506,2347.649,1884.062,2509.186,2055.666,2352.511,1835.383,2177.601,2311.002,1597.359,2103.333,2520.022,1835.702,2057.671,1945.158
2369.336,2071.081,1786.283,2520.315,1977.784,2258.424,2354.718,1878.056,2516.898,2048.188,2362.181,1833.297,2194.014,2285.569,1603.599,2089.627,2526.045,1828.491,2065.749,1938.130
