x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
888.384,202.418,865.324,36.518,730.901,122.512,745.558,49.883,799.070,173.838,825.801,16.670,862.670,102.652,816.833,86.749,875.018,162.263,911.319,101.433
887.775,203.373,866.953,36.064,731.466,121.275,746.723,48.945,799.488,174.331,826.517,16.327,861.577,100.184,816.925,85.004,873.974,163.831,911.738,103.231
887.646,201.678,869.820,35.049,732.201,119.945,748.817,46.972,801.324,175.603,826.445,17.043,860.034,96.993,816.233,83.658,869.947,167.257,912.086,105.953
887.802,202.315,870.296,34.850,732.797,119.325,750.033,45.594,801.030,175.606,826.466,16.580,858.888,95.061,815.999,82.182,866.862,169.175,912.424,108.077
887.343,201.141,872.694,33.337,733.652,117.389,752.413,43.705,802.934,176.984,826.108,16.584,857.723,92.362,815.528,80.457,863.003,172.042,912.638,110.336
887.295,201.170,874.170,32.930,733.594,116.530,753.301,43.170,803.490,179.020,826.082,16.189,856.684,90.443,815.397,79.864,860.372,174.798,913.014,112.543
887.227,200.366,875.732,31.997,734.245,115.139,754.752,41.935,804.108,180.753,825.513,16.551,855.707,87.958,814.827,78.446,857.299,177.746,913.513,114.097
886.921,200.535,877.144,31.455,735.332,113.386,756.497,39.886,805.202,183.179,825.724,16.169,855.195,85.515,814.521,77.053,854.152,180.520,913.433,117.082
886.982,199.414,878.235,30.712,735.910,111.920,757.917,38.122,805.930,184.882,826.205,16.631,854.981,84.481,814.427,75.450,851.355,183.082,913.141,119.033
886.511,198.499,878.390,29.115,736.305,109.829,760.087,36.424,807.280,187.658,826.151,16.668,854.003,81.322,813.748,73.824,848.447,186.326,912.428,121.922
886.736,198.056,877.492,28.265,736.627,108.437,761.278,35.674,807.442,188.272,826.605,16.776,853.738,80.137,812.649,72.837,847.737,189.253,912.020,124.611
886.407,197.139,876.207,25.777,738.245,105.176,764.144,33.124,808.392,192.319,825.552,16.646,853.279,78.030,810.918,70.728,846.501,195.526,911.322,127.161
886.423,197.208,875.607,25.756,738.897,103.311,765.027,32.620,808.412,192.734,825.774,16.644,854.293,75.490,810.359,69.839,845.264,198.832,911.789,128.348
886.172,195.865,873.524,22.293,739.665,100.621,767.536,30.042,809.144,197.482,825.628,16.498,855.036,71.775,808.770,67.301,844.684,202.210,910.347,131.063
886.026,195.757,872.909,22.392,740.287,98.809,768.648,28.849,809.202,197.775,826.389,16.881,855.471,69.799,808.246,66.503,843.457,206.465,908.434,132.176
885.812,195.110,872.194,21.951,741.079,96.202,771.153,27.119,810.406,202.068,825.770,16.849,855.792,67.064,807.404,65.171,843.005,211.127,905.329,134.933
885.293,194.543,871.061,22.047,742.004,93.737,772.906,25.813,810.404,202.736,825.017,16.680,856.086,64.444,806.570,63.957,842.788,214.323,903.556,137.195
