x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
3171.363,1154.923,3177.672,1332.412,3303.841,1225.805,3246.227,1293.688,3216.627,1122.084,3230.975,1519.391,3179.536,1645.910,3074.255,1630.602,3073.254,1665.990,3326.769,1491.119
3165.976,1152.652,3179.611,1332.526,3304.283,1224.906,3236.929,1283.227,3216.347,1115.020,3233.978,1515.053,3178.050,1644.950,3072.858,1630.638,3062.132,1662.255,3334.786,1491.640
3161.157,1150.438,3181.411,1332.738,3304.305,1224.720,3230.284,1275.559,3220.619,1106.932,3236.865,1504.707,3176.365,1643.601,3069.948,1629.961,3052.487,1659.111,3338.809,1480.305
3156.692,1148.427,3182.963,1333.315,3304.598,1223.795,3223.589,1268.103,3226.659,1098.901,3241.342,1492.243,3175.710,1643.715,3067.798,1629.683,3043.986,1656.471,3342.658,1463.813
3152.475,1146.822,3184.510,1334.239,3304.715,1222.624,3217.753,1262.170,3230.970,1093.642,3246.983,1480.014,3174.248,1642.558,3065.671,1629.612,3036.265,1654.240,3345.974,1450.660
3148.566,1145.108,3185.549,1335.144,3305.346,1222.053,3212.722,1257.516,3233.442,1090.369,3251.493,1470.197,3173.700,1642.662,3064.031,1629.767,3028.670,1652.090,3349.374,1438.535
3145.470,1143.908,3184.757,1332.797,3305.822,1222.734,3206.968,1252.534,3236.096,1087.315,3255.980,1462.029,3172.590,1641.980,3061.479,1629.289,3022.811,1650.605,3351.597,1429.704
3142.358,1142.773,3176.924,1326.160,3306.187,1221.640,3203.275,1249.613,3237.970,1085.374,3260.524,1455.474,3171.503,1640.844,3059.204,1628.943,3016.313,1648.951,3347.437,1409.523
3139.911,1141.908,3168.080,1319.752,3305.850,1219.590,3197.487,1246.101,3239.633,1083.985,3265.916,1452.216,3171.079,1637.658,3057.422,1629.303,3008.785,1644.045,3341.898,1386.154
3137.764,1141.155,3160.635,1314.809,3301.475,1210.385,3181.015,1237.539,3241.192,1083.040,3267.700,1453.099,3168.785,1627.920,3055.484,1629.448,2991.653,1624.081,3337.220,1368.608
3136.028,1140.727,3154.365,1310.921,3297.731,1197.732,3169.118,1229.257,3243.048,1080.344,3270.562,1455.861,3161.698,1614.028,3054.100,1630.081,2975.858,1609.301,3332.799,1355.452
3130.185,1141.954,3148.190,1307.477,3294.265,1187.064,3158.501,1221.674,3244.009,1080.469,3273.678,1459.875,3155.926,1604.634,3053.165,1631.168,2962.006,1596.140,3328.532,1342.648
3120.757,1150.831,3142.662,1304.514,3291.427,1179.283,3148.255,1215.250,3245.961,1075.036,3276.652,1463.991,3151.470,1597.135,3051.034,1631.388,2950.162,1584.612,3325.058,1332.784
3108.156,1162.458,3138.106,1302.460,3288.939,1171.548,3140.077,1209.869,3248.201,1059.634,3279.434,1468.264,3147.579,1590.762,3048.528,1630.249,2941.393,1576.039,3322.054,1324.634
3098.082,1172.531,3131.798,1297.230,3286.991,1165.440,3132.831,1205.661,3251.840,1047.345,3282.634,1473.443,3144.122,1585.295,3037.059,1619.212,2933.279,1568.248,3315.991,1312.681
3091.143,1181.194,3122.017,1281.818,3285.573,1159.574,3125.933,1201.141,3253.967,1037.802,3285.006,1477.095,3141.138,1580.621,3022.082,1608.544,2927.454,1554.692,3305.784,1296.599
3084.583,1189.436,3112.347,1269.804,3284.485,1154.291,3123.879,1199.803,3255.657,1030.897,3287.722,1482.174,3138.518,1576.466,3009.728,1598.024,2933.311,1529.981,3297.458,1282.069
